idx,smiles
0,[*]C(C)(C(=O)OCC(F)(F)C(F)C(F)(F)F)[*].[*]C(C)(C(=O)OCC(CC)CCCC)[*].[*]C(C)(C(=O)OCCCCCCCCCCCC)[*]
1,CCCCCCCCCCCCOC(=O)C=C
2,[*]C(C)(C(=O)OCC(CC)CCCC)[*].[*]OC(=O)C=C-OCCCCCCO-C(=O)C=C[*]
3,[*]C(C)(C(=O)OCCCC)[*].[*]C(C)(C(=O)OC1CC2(C)CCC1(C)C(C)C2)[*].[*]C(C)(C(=O)O)[*]
4,[*]C(C)(C(=O)OCCCC)[*].[*]OC(=O)C=C-O-CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO-N-CO-O-CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO-O-C(=O)C=C[*]
5,[*]C(C)(C(=O)OCCCC)[*].[*]OC(=O)C=C-O-CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO-N-CO-O-CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO-O-C(=O)C=C[*]
6,[*]C(C)(C(=O)OCCCC)[*].[*]OC(=O)C=C-O-CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO-N-CO-O-CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO-O-C(=O)C=C[*]
7,[*]C(C)(C(=O)OCCCC)[*].[*]OC(=O)C=C-O-CO-N-CO-O-CCOCCOCCOCCOCCOCCO-O-CO-N-CO-O-C(=O)C=C[*]
8,[*]OC(=O)C=C-C-C(CO-C(=O)C=C[*])O-CO-N-CCCC-N-CO-O-C-C(=O)O-C(=O)C=C[*]
9,[*]OC(=O)C=C-N-CO-O-CCOCCOCCOCCOCCOCCOCCOCCO-O-CO-N-CO-O-C(=O)C=C[*]
10,CC(C)CCCCCOC(=O)C=C.C=CC(=O)O.CCC(COC(=O)C(=C)C)(COC(=O)C(=C)C)COC(=O)C(=C)C
11,CC(C)CCCCCOC(=O)C=C.C=CC(=O)O.CCC(COC(=O)C(=C)C)(COC(=O)C(=C)C)COC(=O)C(=C)
12,[*]C=C(C(=O)OCCO)[*].[*]OC(=O)Nc1ccc(Cc2ccc(cc2)NCOO[*])cc1
13,C=CC(=O)OCCOC(=O)NCCCCCCNCOOCCOC(=O)C=C
14,"*C=CC(CC)CCCCCOC(*)=O.*C=CC1COCCN1C(*)=O
"
15,*C(*)(C)C(=O)OCCCC.*c1ccc(N)c(N)c1*
16,"*C(*)(C)C(=O)OCCCC.*c1cc(*)ccc1*
"
17,*C(*)(C)C(=O)OCCCC.[Ca+2]
18,[*]C(C)(C(=O)OCC(CC)CCCC)[*].[*]OC(=O)C=C-OCCCCCCO-C(=O)C=C[*]
19,*C(*)(C)C(=O)OCCCC.*c1cc(*)ccc1*
20,*C(*)(C)C(=O)OCCCC.*C(*)(C)C(=O)OC1CC2(C)CCC1(C)C(C)C2.*C(*)(C)C(=O)O
21,*C(*)(C)C(=O)OCCCC.*C=CC(=O)OCC(C)(COC=CC(=O)O*)COC(=O)C=C*	
22,*C(*)(C)C(=O)OC.*C(*)(C)C(=O)OCCCC
23,*C(*)(C)C(=O)OCC[N+](C)(C)CCS(=O)(=O)[O-]	
24,*C(*)(C)C(=O)OCCCC.CC[n+]1ccn(C)c1.O=S(=O)([O-])N(C(F)(F)F)S(=O)(=O)C(F)(F)F
25,*C(*)(C)C(=O)OCCCC.*C(*)(C)C(=O)OCC#N
26,*C(*)(C)C(=O)OCC(C)CCCC.*C(*)(C)C(=O)OCC[n+]1ccn(C)c1.O=S(=O)([O-])N(C(F)(F)F)S(=O)(=O)C(F)(F)F
27,*C(*)(C)C(=O)OCCCCCCCCCCCC.*C(*)(C)C(=O)OCCOCCOCC
28,*C(*)(C)C(=O)OC(C)(C)C.*C(*)(C)C(=O)OCC(CC)CCCC
29,*C(*)(C)C(=O)OCCCC.*C(*)(C)C(=O)OCC[N+](C)(C)CCS(=O)(=O)[O-]
30,*C(*)(C)C(=O)OCCCC.*C(*)(C)C(=O)OCCN(C)C
31,"*C(*)(C)C(=O)OCCO
"
32,*C=CC1COCCN1C(*)=O.*C=CC(CC)CCCCCOC(*)=O
33,[*]C(C)(C(=O)OCCCC)[*].[*]C(C)(C(=O)OCC1CO1)[*]
34,"*CCCCOC(=O)C(*)C.*C(*)C(=O)OCCO
"
